time,signal
6.981125569343566895e+01,7.463747815804029975e-03
6.987218689918518066e+01,7.009320962240397912e-03
6.993522381782531738e+01,6.652501887757497623e-03
6.999842190742492676e+01,6.425184458490208923e-03
7.006128382682800293e+01,6.360650591822241198e-03
7.012953400611877441e+01,6.493470081804682270e-03
7.018834471702575684e+01,6.859385815624757798e-03
7.025562739372253418e+01,7.495183619638446336e-03
7.031416177749633789e+01,8.438546024006090412e-03
7.037418150901794434e+01,9.727889326694313943e-03
7.043812799453735352e+01,1.140218346859992772e-02
7.050212788581848145e+01,1.350075439513101321e-02
7.056552481651306152e+01,1.606306876709926584e-02
7.062446045875549316e+01,1.912850108761418241e-02
7.069158220291137695e+01,2.273608352617561418e-02
7.075472331047058105e+01,2.692423894209847873e-02
7.081140494346618652e+01,3.173049783370796018e-02
7.087376165390014648e+01,3.719120016585021615e-02
7.093812775611877441e+01,4.334118325560177426e-02
7.099975252151489258e+01,5.021345712308390719e-02
7.106192207336425781e+01,5.783886893654877071e-02
7.112355113029479980e+01,6.624575839123644783e-02
7.118668723106384277e+01,7.545960605212351235e-02
7.125422716140747070e+01,8.550267685487049352e-02
7.131733727455139160e+01,9.639366109140279359e-02
7.137451028823852539e+01,1.081473153020674760e-01
7.143580174446105957e+01,1.207741055537114028e-01
7.150023937225341797e+01,1.342798556077579863e-01
7.156214547157287598e+01,1.486654024897869908e-01
7.162646651268005371e+01,1.639262619871670046e-01
7.168858337402343750e+01,1.800523066539954919e-01
7.175117611885070801e+01,1.970274590205858267e-01
7.181633234024047852e+01,2.148294029049088727e-01
7.187545800209045410e+01,2.334293160066042150e-01
7.193604731559753418e+01,2.527916273153480997e-01
7.199822592735290527e+01,2.728738032580860784e-01
7.206165122985839844e+01,2.936261669116723705e-01
7.212376260757446289e+01,3.149917549839816311e-01
7.219280529022216797e+01,3.369062175811395332e-01
7.224847674369812012e+01,3.592977659950751246e-01
7.231610226631164551e+01,3.820871738336021339e-01
7.237812757492065430e+01,4.051878367551576265e-01
7.244182920455932617e+01,4.285058958548222385e-01
7.249788093566894531e+01,4.519404293777404824e-01
7.256013011932373047e+01,4.753837169125276763e-01
7.262390398979187012e+01,4.987215795405300911e-01
7.268812775611877441e+01,5.218337985854833994e-01
7.275029134750366211e+01,5.445946146231388507e-01
7.281382727622985840e+01,5.668733072793935568e-01
7.287675070762634277e+01,5.885348550872552265e-01
7.293967008590698242e+01,6.094406733218741268e-01
7.300202441215515137e+01,6.294494263406743562e-01
7.306007957458496094e+01,6.484179095904094581e-01
7.312405276298522949e+01,6.662019951852994337e-01
7.318584465980529785e+01,6.826576338955400169e-01
7.324736738204956055e+01,6.976419055881847298e-01
7.330972123146057129e+01,7.110141096746916967e-01
7.337535977363586426e+01,7.226368869318954280e-01
7.343924331665039062e+01,7.323773641129779355e-01
7.350419449806213379e+01,7.401083129538448269e-01
7.356619119644165039e+01,7.457093154016206649e-01
7.362346768379211426e+01,7.490679270510510745e-01
7.368612694740295410e+01,7.500808307955126875e-01
7.374783968925476074e+01,7.486549725295281732e-01
7.381223082542419434e+01,7.447086703615654057e-01
7.387621283531188965e+01,7.381726882371304477e-01
7.393762350082397461e+01,7.289912642008822274e-01
7.400251078605651855e+01,7.171230828296922821e-01
7.406503200531005859e+01,7.025421807256376772e-01
7.412575840950012207e+01,6.852387734246758733e-01
7.419217014312744141e+01,6.652199916867491680e-01
7.424815511703491211e+01,6.425105149074006317e-01
7.431212735176086426e+01,6.171530893460729361e-01
7.437421131134033203e+01,5.892089190164518930e-01
7.443798565864562988e+01,5.587579174418866312e-01
7.450180006027221680e+01,5.258988090543489369e-01
7.456472826004028320e+01,4.907490698164507226e-01
7.462301754951477051e+01,4.534446976780679983e-01
7.469066238403320312e+01,4.141398047447178432e-01
7.474941921234130859e+01,3.730060245337139535e-01
7.481072425842285156e+01,3.302317294229695777e-01
7.487361574172973633e+01,2.860210553497025132e-01
7.493604874610900879e+01,2.405927329825762462e-01
7.499975848197937012e+01,1.941787269580937669e-01
7.506255316734313965e+01,1.470226873241892163e-01
7.512517690658569336e+01,9.937822005151882021e-02
7.518700003623962402e+01,5.150698633374203167e-02
7.524828314781188965e+01,3.676643379775839521e-03
7.531324458122253418e+01,-4.384135751322305874e-02
7.537758207321166992e+01,-9.077409663566535225e-02
7.543923830986022949e+01,-1.368496130507415032e-01
7.549980115890502930e+01,-1.817994077276146037e-01
7.556990337371826172e+01,-2.253609937737148239e-01
7.563697218894958496e+01,-2.672804618184422831e-01
7.570171093940734863e+01,-3.073150258940178237e-01
7.578001761436462402e+01,-3.452355130595189947e-01
7.585010004043579102e+01,-3.808287587105091410e-01
7.594262003898620605e+01,-4.138998691532537744e-01
7.603458857536315918e+01,-4.442743136895246914e-01
7.609998917579650879e+01,-4.717998101815673029e-01
7.616573619842529297e+01,-4.963479707967784482e-01
7.623034501075744629e+01,-5.178156782401059921e-01
7.631399083137512207e+01,-5.361261670869374996e-01
7.638331866264343262e+01,-5.512297896375679684e-01
7.644960761070251465e+01,-5.631044508644003077e-01
7.651125407218933105e+01,-5.717557024034439772e-01
7.657430362701416016e+01,-5.772164910863036846e-01
7.665559506416320801e+01,-5.795465631775174042e-01
7.671836304664611816e+01,-5.788315312400053037e-01
7.678104996681213379e+01,-5.751816163509861912e-01
7.684625697135925293e+01,-5.687300841535151141e-01
7.690575003623962402e+01,-5.596313988293571962e-01
7.697190904617309570e+01,-5.480591243426682357e-01
7.704110002517700195e+01,-5.342036070255622437e-01
7.710424590110778809e+01,-5.182694775528785547e-01
7.718605804443359375e+01,-5.004730134151774701e-01
7.724991035461425781e+01,-4.810394050296057933e-01
7.731068658828735352e+01,-4.601999695686844194e-01
7.737219834327697754e+01,-4.381893564380724970e-01
7.743845796585083008e+01,-4.152427871606236276e-01
7.749995255470275879e+01,-3.915933703510212638e-01
7.756225299835205078e+01,-3.674695296592947469e-01
7.762599992752075195e+01,-3.430925791978401973e-01
7.768668746948242188e+01,-3.186744772003284876e-01
7.775002646446228027e+01,-2.944157846135393997e-01
