time,signal
6.041230940818786621e+01,-1.102573470450333125e-02
6.047353625297546387e+01,-1.217293417539699885e-02
6.053064918518066406e+01,-1.227894104907786832e-02
6.059320664405822754e+01,-1.126427648561444464e-02
6.065585470199584961e+01,-9.204134907612772365e-03
6.071947741508483887e+01,-6.341646826334680631e-03
6.078419947624206543e+01,-3.055613528435207043e-03
6.084538054466247559e+01,2.128470010630991024e-04
6.090988540649414062e+01,3.055056985948522916e-03
6.097310805320739746e+01,5.182852151221729528e-03
6.102855777740478516e+01,6.483387688487166761e-03
6.109230709075927734e+01,7.024600365486075200e-03
6.115592765808105469e+01,7.010938432249723407e-03
6.121972417831420898e+01,6.704692129448156131e-03
6.128192090988159180e+01,6.338868823904602635e-03
6.134255313873291016e+01,6.049303083688409299e-03
6.140380263328552246e+01,5.845832235841837837e-03
6.146590280532836914e+01,5.628016430155672808e-03
6.153612923622131348e+01,5.235821208403481850e-03
6.159125113487243652e+01,4.515511316531973206e-03
6.166247057914733887e+01,3.378619011687008372e-03
6.171800327301025391e+01,1.836799915583389340e-03
6.178196525573730469e+01,4.907346629166083746e-06
6.184375357627868652e+01,-1.924953900795661667e-03
6.190754008293151855e+01,-3.727678942656684376e-03
6.197174692153930664e+01,-5.193671907304825419e-03
6.203229665756225586e+01,-6.169054479770655700e-03
6.209726405143737793e+01,-6.579685629279960653e-03
6.215474390983581543e+01,-6.436568813013772775e-03
6.221804666519165039e+01,-5.824669428745966882e-03
6.228032302856445312e+01,-4.879931259557775992e-03
6.234413051605224609e+01,-3.760511672155779188e-03
6.240791559219360352e+01,-2.618275530838806275e-03
6.246988129615783691e+01,-1.575617520697904575e-03
6.253306937217712402e+01,-7.109602723923414943e-04
6.259497165679931641e+01,-5.421492322972513837e-05
6.265602469444274902e+01,4.084121186355893409e-04
6.271741056442260742e+01,7.223076512506920949e-04
6.277921628952026367e+01,9.479990510499924005e-04
6.284948277473449707e+01,1.143829927744222444e-03
6.291047310829162598e+01,1.351257803332229970e-03
6.297464108467102051e+01,1.585614928602241923e-03
6.303831648826599121e+01,1.833844607096277602e-03
6.310304784774780273e+01,2.059136067031127650e-03
6.315854001045227051e+01,2.211119466557236960e-03
6.322062110900878906e+01,2.239605767382800514e-03
6.328122830390930176e+01,2.109492302617847585e-03
6.335170888900756836e+01,1.813995434762741971e-03
6.340987610816955566e+01,1.382863308300628967e-03
6.346839499473571777e+01,8.822945253926394891e-04
6.353199434280395508e+01,4.046305767938431636e-04
6.359612917900085449e+01,4.856904738983943695e-05
6.365819764137268066e+01,-1.060980420754080715e-04
6.372081875801086426e+01,-2.260273655433200966e-05
6.378319454193115234e+01,2.772869636016290053e-04
6.385008621215820312e+01,7.122946665492539773e-04
6.391954374313354492e+01,1.157369306773325165e-03
6.399996805191040039e+01,1.473257595416445917e-03
6.406164240837097168e+01,1.542361569789870573e-03
6.412263703346252441e+01,1.300714396469783776e-03
6.418606662750244141e+01,7.564810426032470307e-04
6.424758672714233398e+01,-1.084732956437738831e-05
6.431085276603698730e+01,-8.705781841471774314e-04
6.437951374053955078e+01,-1.674284629305786143e-03
6.444203519821166992e+01,-2.292519296234586581e-03
6.450128459930419922e+01,-2.643946277626854115e-03
6.456254744529724121e+01,-2.709034816084847190e-03
6.462578964233398438e+01,-2.525965544733319891e-03
6.468812847137451172e+01,-2.172207872201412440e-03
6.475198316574096680e+01,-1.739116179518113234e-03
6.481514739990234375e+01,-1.307720936319122776e-03
6.487799239158630371e+01,-9.319565152568071165e-04
6.493868780136108398e+01,-6.321644911236114521e-04
6.500301384925842285e+01,-3.983212117166202385e-04
6.506533908843994141e+01,-2.000819752857920788e-04
6.512227535247802734e+01,2.346864715209559700e-07
6.518766498565673828e+01,2.353153336875957494e-04
6.525006055831909180e+01,5.236140748074339475e-04
6.531328082084655762e+01,8.641944793368739990e-04
6.537598681449890137e+01,1.235538213848996671e-03
6.543925142288208008e+01,1.597886208973211316e-03
6.550033020973205566e+01,1.898913064359489429e-03
6.555971002578735352e+01,2.082590258941858456e-03
6.562222194671630859e+01,2.100416802629162701e-03
6.568597459793090820e+01,1.923000827875093795e-03
6.574765944480895996e+01,1.549085622919149380e-03
6.581083774566650391e+01,1.009276710711384632e-03
6.587359189987182617e+01,3.630709933003236712e-04
6.593493843078613281e+01,-3.102301025180538227e-04
6.600412964820861816e+01,-9.244137607817195373e-04
6.606607007980346680e+01,-1.400016296189736387e-03
6.612972640991210938e+01,-1.676156407705754400e-03
6.618465375900268555e+01,-1.719083378152348783e-03
6.624798512458801270e+01,-1.527039540560498057e-03
6.631212806701660156e+01,-1.131477530394040627e-03
6.637594723701477051e+01,-5.944786366969750458e-04
6.643829798698425293e+01,-1.814166690532707923e-06
6.650185012817382812e+01,5.489030148398825774e-04
6.656582188606262207e+01,9.646131241206997364e-04
6.662840127944946289e+01,1.175533280062538788e-03
6.669207596778869629e+01,1.151889806289321892e-03
6.674942970275878906e+01,9.132039226359956168e-04
6.681006789207458496e+01,5.256165638432515113e-04
6.687440824508666992e+01,8.600292742511471303e-05
6.693743896484375000e+01,-3.037320632362990351e-04
6.700028133392333984e+01,-5.646264462185031580e-04
6.706121873855590820e+01,-6.616410276973115970e-04
6.712352180480957031e+01,-6.102396695684967265e-04
6.718576931953430176e+01,-4.661685364737098427e-04
6.724735450744628906e+01,-3.022830565815947486e-04
6.730975675582885742e+01,-1.811839655162679735e-04
6.738174986839294434e+01,-1.339183690537615779e-04
6.743741989135742188e+01,-1.524326882808532983e-04
6.749996566772460938e+01,-1.978894089206936139e-04
6.756417417526245117e+01,-2.206768840952753408e-04
6.762556195259094238e+01,-1.835108287297822097e-04
6.768943548202514648e+01,-7.818379653869320588e-05
